Sub-Area,Type,Area,Price,Company,Township,Township Area,ClubHouse,School,Hospital,Mall,Park,Pool,Gym
bavdhan,1.0,492,3.9000000000000004,shapoorji paloonji,Vanaha,1000.0,1,1,1,1,1,1,1
bavdhan,2.0,774,6.5,shapoorji paloonji,Vanaha,1000.0,1,1,1,1,1,1,1
bavdhan,3.0,889,7.4,shapoorji paloonji,Vanaha,1000.0,1,1,1,1,1,1,1
bavdhan,3.0,1018,8.9,shapoorji paloonji,Vanaha,1000.0,1,1,1,1,1,1,1
mahalunge,2.0,743,7.4,godrej properties,Godrej Hills retreat,100.0,1,1,1,1,1,1,1
mahalunge,3.0,975,9.5,godrej properties,Godrej Hills retreat,100.0,1,1,1,1,1,1,1
balewadi,2.0,1333,7.5,anp corp,ANP Universe,25.0,1,0,0,0,1,1,1
balewadi,3.0,1713,10.0,anp corp,ANP Universe,25.0,1,0,0,0,1,1,1
ravet,2.0,905,6.5,urban space creator,Urban Skyline,10.0,1,0,0,0,1,1,1
ravet,3.0,1125,8.8,urban space creator,Urban Skyline,10.0,1,0,0,0,1,1,1
ravet,4.0,1644,13.5,urban space creator,Urban Skyline,10.0,1,0,0,0,1,1,1
ravet,5.0,2220,18.8,urban space creator,Urban Skyline,10.0,1,0,0,0,1,1,1
ravet,6.0,2220,18.8,urban space creator,Urban Skyline,10.0,1,0,0,0,1,1,1
baner,2.0,1084,5.800000000000001,vtp reality,VTP Cierra,10.0,1,0,0,0,1,1,1
baner,3.0,1496,9.5,vtp reality,VTP Cierra,10.0,1,0,0,0,1,1,1
mahalunge,1.0,423,4.0,vtp reality,VTP Blue Water,50.0,1,0,0,0,1,1,1
mahalunge,2.0,665,5.800000000000001,vtp reality,VTP Blue Water,50.0,1,0,0,0,1,1,1
mahalunge,3.0,1274,7.800000000000001,vtp reality,VTP Blue Water,50.0,1,0,0,0,1,1,1
ravet,1.0,462,3.6,waghvani constructions,OM Mangalam Chaitanya,25.0,1,0,0,0,1,1,1
ravet,2.0,666,4.800000000000001,waghvani constructions,OM Mangalam Chaitanya,25.0,1,0,0,0,1,1,1
ravet,2.0,750,5.7,sukwani associates,Sukwani Aspire,10.0,1,0,0,0,1,1,1
ravet,3.0,1030,7.9,sukwani associates,Sukwani Aspire,10.0,1,0,0,0,1,1,1
kharadi,1.0,446,3.7,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,2.0,796,5.7,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,2.0,842,5.9,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,2.0,865,6.1000000000000005,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,2.0,902,6.300000000000001,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,2.0,1154,7.9,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,3.0,872,6.1000000000000005,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,3.0,934,6.5,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,3.0,1088,7.300000000000001,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,3.0,1109,7.6000000000000005,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,3.0,1163,8.0,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,3.0,1419,9.600000000000001,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
kharadi,3.0,1485,10.0,mantra properties,Mantra 29 Gold,25.0,1,0,0,0,1,0,1
balewadi,2.0,684,7.0,mantra properties,Mantra Monarch,3.0,1,0,0,0,1,1,1
balewadi,3.0,990,9.0,mantra properties,Mantra Monarch,3.0,1,0,0,0,1,1,1
koregaon park,2.0,882,9.700000000000001,mantra properties,Infinity,25.0,1,0,0,0,1,1,1
koregaon park,3.0,1103,12.0,mantra properties,Infinity,25.0,1,0,0,0,1,1,1
keshav nagar,1.0,543,4.2,mantra properties,Mantra Insignia,,1,0,0,0,1,1,1
keshav nagar,2.0,1363,5.7,mantra properties,Mantra Insignia,,1,0,0,0,1,1,1
kirkatwadi sinhagad road,1.0,320,1.4000000000000001,mantra properties,7Hills,,1,0,0,0,1,1,1
kirkatwadi sinhagad road,2.0,473,2.2,mantra properties,7Hills,,1,0,0,0,1,1,1
kirkatwadi sinhagad road,3.0,581,2.6,mantra properties,7Hills,,1,0,0,0,1,1,1
akurdi,2.0,790,8.0,mantra properties,Mantra Sky Tower,3.5,1,0,0,0,1,1,1
akurdi,2.0,820,8.3,mantra properties,Mantra Sky Tower,3.5,1,0,0,0,1,1,1
akurdi,3.0,989,10.100000000000001,mantra properties,Mantra Sky Tower,3.5,1,0,0,0,1,1,1
akurdi,3.0,1003,10.3,mantra properties,Mantra Sky Tower,3.5,1,0,0,0,1,1,1
akurdi,3.0,1182,12.8,mantra properties,Mantra Sky Tower,3.5,1,0,0,0,1,1,1
